Titulo;Descripcion
'The Guardian' va con Sánchez: 'Europa necesita que su apuesta dé sus frutos';El diario británico publicó este pasado jueves un editorial sobre las próximas elecciones del 23J en el que califica de valiente el adelanto electoral y apoya que el presidente alerte de los riesgos de la ultraderecha.
REVELAN QUE EL GOBIERNO NEGOCIO LA LIBERACIÓN DE MIRELES A CAMBIO DE OTORGARLE EL PERDÓN A JAVIER DUARTE;"REVELAN QUE EL GOBIERNO NEGOCIO LA LIBERACIÓN DE MIRELES A CAMBIO DE OTORGARLE EL PERDÓN A JAVIER DUARTE
México.- Gran polémica y asombro está causando en la redes sociales la noticia lanzada por una revista de política que asegura que la liberación del Doctor José Manuel Mireles Valverde, que en el *NUMBER* fue encarcelado por poseer armamento exclusivo del gobierno y crear un grupo de autodefensa, en realidad se trata de una estrategia creada por el gobierno para otorgarle el perdón a Javier Duarte, ya que su idea es dejar en libertad al ex gobernador de Veracruz argumentando que si Mireles pudo salir de prisión Duarte también tendrá derecho a recuperar su libertad como cualquier ciudadano inocente.
Los periodistas aseguran que fue el propio presidente de la república, Enrique Peña Nieto, quien ordenó que Mireles recuperara su libertad ""como estrategia para otorgarle el perdón a Javier"", señalando que cuando el pueblo comience a reclamar que declararon inocente al ex gobernador de Veracruz, pondrá de ejemplo la liberación de José Manuel para ""apaciguar a la gente"":
""El caso de Mireles es puesto de ejemplo como una de las mayores injusticias de la actualidad. A la gente siempre le pareció inconcebible que alguien que creó un grupo de autodefensa para protegerse del crimen organizado haya sido encarcelado como si fuera un peligroso delincuente, y además nadie creyó la versión de que traficaba droga y poseía armamento militar, asegurando que solo eran argumentos del ejército para poder encarcelarlo.
EPN siente mucha presión por la captura de Javier ya que él conoce muchos secretos turbios del PRI, y sabe que en cualquier momento podría revelarlos si el gobierno no hace algo para dejarlo en libertad.
Enrique está haciendo lo posible por liberarlo sin que el pueblo amenace con hacer una revolución. Su idea es dejar pasar un par de semanas para que las personas se olviden del caso Duarte, liberarlo, y cuando comiencen a quejarse poner de ejemplo que así como liberaron a Mireles, también Javier se ganó su libertad ya que a él tampoco se le comprobaron sus delitos"", relataron.
Los investigadores mencionan que incluso Valverde sabe de esta estrategia, sin embargo decidió callar para poder salir de la cárcel: ""el Doctor ha declarado que no le guarda rencor a nadie y se muestra feliz de estar liberado, eso es porque desde hace semanas comenzaron a darle trato preferencial en el penal hasta que finalmente le revelaron los verdaderos planes.
No sabemos si Mireles es inocente o no, lo que sí sabemos es que cualquier persona después de estar *NUMBER* años encerrado (por más recto que sea) aceptaría a ser liberado a cambio de ser usado como cortina de humo.
En la cárcel no se vive nada bien, hasta el hombre más honesto daría lo que fuera por recuperar su libertad. Mireles fue advertido que si revelaba algo volvería a ser encarcelado y su reputación quedaría por los suelos por prestarse al engaño del gobierno, por lo que al final fue orillado a aceptar el trato.
Lo cierto es que en unas semanas Duarte será extraditado a México, y en menos de *NUMBER* meses un juez ordenará su liberación y comenzará el plan del gobierno de usar el caso de Mireles para justificar porque fue declarado inocente"", puntualizaron."
El 'Ahora o nunca' de Joan Fuster sobre el estatuto valenciano cumple 40 años;El valencianismo convoca en Castelló su fiesta grande en conmemoración del mítico Aplec de la plaza de toros de la capital de La Plana, en plena batalla por el estatuto.
Iglesias alienta a Yolanda Díaz, ERC y EH Bildu a negociar para 'rearmar un bloque de investidura fundamental';En política, igual que hay que negociar con los empresarios, hay que negociar con los grupos parlamentarios, ha reflexionado Iglesias
Puigdemont: 'No sería ninguna tragedia una repetición de las elecciones';En una entrevista en El Punt Avui, el líder de JxCat ha desdramatizado un posible escenario en el que, tras las trabas judiciales a su investidura y las reticencias de la CUP a investir a Teo García Egea, Catalunya acabe abocada a elecciones.
El PNV consolida su mayoría, el PSE salva los papeles y el PP sigue en la marginalidad;Los nacionalistas consiguen las alcaldías de Bilbao, Donostia y Vitoria. Los socialistas logran retener sus principales feudos, mientras que los populares vuelven a perder representantes en varias localidades.
El exconsejero Núria Marín pide el indulto en el caso de los ERE porque no se enriqueció;Sus familiares aluden a su honestidad e integridad personal y a la mayoría tan exigua de la condena.
La Fiscalía pide prisión incondicional para los siete CDR por terrorismo y tenencia de explosivos;Suprime el delito de rebelión que les imputó inicialmente en el marco de la Operación Judas. Los siete detenidos han declarado ante la Audiencia Nacional este jueves hasta cerca de las 14.50 horas.
José Manuel Pérez Tornero, el creador de la televisión educativa;El futuro presidente de RTVE es licenciado en Ciencias de la Comunicación y en Filología Hispánica y Catedrático por la Universitat Autónoma de Barcelona. Creó el programa La aventura del saber.
La 'Ayusización' del BNG: Santiago Abascal instruye a los suyos a seguir la estela de la presidenta madrileña;Pablo Santiago Abascal planea vivir de las rentas de la arrolladora victoria de Isabel Díaz Pablo Echenique todo lo que dure la legislatura. Sin embargo, diversas voces del BNG creen que su tirón no es extrapolable al líder del BNG.
